key_code,key_name
0,undefined
1,escape
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,0
12,minus
13,equals
14,backspace
15,tab
16,q
17,w
18,e
19,r
20,t
21,y
22,u
23,i
24,o
25,p
26,open_bracket
27,close_bracket
28,enter
29,left_control
30,a
31,s
32,d
33,f
34,g
35,h
36,j
37,k
38,l
39,semicolon
40,quote
41,back_quote
42,left_shift
43,back_slash
44,z
45,x
46,c
47,v
48,b
49,n
50,m
51,comma
52,period
53,slash
54,right_shift
55,numpad_multiply
56,left_alt
57,space
58,caps_lock
59,f1
60,f2
61,f3
62,f4
63,f5
64,f6
65,f7
66,f8
67,f9
68,f10
69,num_lock
70,scroll_lock
71,numpad_7
72,numpad_8
73,numpad_9
74,numpad_subtract
75,numpad_4
76,numpad_5
77,numpad_6
78,numpad_add
79,numpad_1
80,numpad_2
81,numpad_3
82,numpad_0
83,numpad_separator
87,f11
88,f12
91,f13
92,f14
93,f15
99,f16
100,f17
101,f18
102,f19
103,f20
104,f21
105,f22
106,f23
107,f24
112,katakana
115,underscore
119,furigana
121,kanji
123,hiragana
125,Â¥
126,numpad_comma
3597,numpad_equals
3612,numpad_enter
3613,right_control
3637,numpad_divide
3639,print_screen
3640,right_alt
3653,pause
3655,home
3657,page_up
3663,end
3665,page_down
3666,insert
3667,delete
3675,left_meta
3676,right_meta
3677,context_menu
57360,previous
57369,next
57376,mute
57377,app_calculator
57378,play
57380,stop
57388,eject
57390,volume_down
57392,volume_up
57394,browser_home
57404,app_music
57416,up
57419,left
57421,right
57424,down
57438,power
57439,sleep
57443,wake
57444,app_pictures
57445,browser_search
57446,browser_favorites
57447,browser_refresh
57448,stop
57449,browser_forward
57450,browser_back
57452,app_mail
57453,select
65396,sun_open
65397,sun_help
65398,sun_props
65399,sun_front
65400,sun_stop
65401,sun_again
65403,sun_cut
65404,sun_copy
65405,sun_insert
65406,sun_find
